Dimensão,Pergunta,Nível 1,Nível 3,Nível 5,Respostas
Payments,Qual a taxa de aprovação de pedidos?,menor que 70%,entre 70% e 80%,maior que 80%,
Payments,Multi-adquirente (retentativa e redundância)?,não possuo,possuo apenas um adquirente que pratica retentativa de transação,possuo multi-adquirentes com retentativa de transação e redundância de operador para qualquer necessidade de contingência,
Payments,"São oferecidos diversos métodos de pagamento? (pix parcelado, e-wallet, etc)",apenas cartão de crédito,cartão de crédito e pix,"Cartão de crédito, pix, pix parcelado, e e-wallet",
Payments,Qual o nível de automação da conciliação de pagamentos?,Conciliação manual com erros frequentes,Conciliação semi-automatizada,"Totalmente automatizada, em tempo real, com dashboards",
Payments,Conciliação financeira com canais de marketplace?,"não possuo, acato a cobrança somente",Possuo analise pontual apenas para discrepância visíveis/altas,"conciliação sistemática e total das faturas, com apontamento de desvios e negociação direta com os canais.",
Payments,Quão avançada é a prevenção de fraude?,Checagens manuais básicas,Filtros automatizados de fraude,Prevenção de fraude com IA integrada aos pagamentos,
Payments,Quão o % de chargeback atual? ,maior que 0.8%,entre 0.5% e 0.8%,menor que 0.5%,
Payments,Qual processo de chargeback (tem disputa),não possuo,Pontual apenas para discrepância altas,"Sistemática, analise minuciosa com disputa em todos os casos passíveis",
Warehouse,Qual o SLA de despacho de pedidos padrão?,maior que 2 dias úteis (a partir da integração do pedido),2 dias úteis (a partir da integração do pedido),igual ou menor que 1 dia útil (a partir da integração do pedido),
Warehouse,Qual a eficiência do pick & pack?,"Separação manual, baseada em papel",WMS básico com leitura de código,"Picking automatizado, rotas otimizadas, operações enxutas",
Warehouse,"Packing (embalagens, personalização, treinamento padrao de qualidade)","Processo simples, sem nenhuma customização","Embalagens personalizadas, sem um foco espefícico em padronização do processo de embalagem","Embalagens personalizadas, ecolocógicas, e processo padronizado de embalagem com treinamentos recorrentes, e controle de qualidade.",
Warehouse,Qual a fidelidade do estoque no atendimento dos pedidos?,até 95%,entre 95% e 99%,maior que 99%,
Warehouse,Qual SLA de internalização de logística reversa?,maior que 3 dias úteis (a partir da entrega do item no armazém),entre 3 a 2 dias úteis (a partir da entrega do item no armazém),menor que 2 dias úteis (a partir da entrega do item no armazém),
Warehouse,Como são tratados os retornos?,"Processo despadronizado, difícil para o cliente",Algum processo padronizado,"Portal fluido, etiquetas fáceis, reembolso/troca rápida",
Warehouse,A logística reversa é integrada à atualização de estoque?,Processada manualmente após semanas,"Alguma integração, mas com atrasos",Reposição em tempo real após inspeção de qualidade,
Warehouse,Produtos de alto retorno são monitorados?,Sem ação,Checagens manuais,Alertas automáticos + inisghts com análises de principais motivos de trocas e devoluções,
Warehouse,"Como os estoques são integrados entre canais (B2C, Marketplaces, Omnichannel, B2B)?","Estoques separados, sem coordenação",Integração parcial (sincronização manual),Estoque unificado entre todos os canais com visibilidade em tempo real,
Delivery,Quantas opções de frete são oferecidas?,Apenas padrão,Padrão + Expressa disponíveis,"Ampla escolha: econômica, expressa (next-day e same-day delivery, agendada, pontos de retirada)",
Delivery,Qual o prazo medio de entrega em São Paulo - Capital?,maior que 3 dias úteis,entre 3 e 2 dias úteis,até 1 dia útil,
Delivery,Há plano de contingência para interrupções logísticas?,Sem plano,Alguma redundância (2 transportadoras),Contingência completa com múltiplos parceiros e monitoramento preditivo,
Delivery,Possui controle ou previsão de atraso?,não possuo,pontualmente ,"sistemático, com alertas em tempo real e revisão de rotas, com plano de contingência.",
Delivery,Possui trataivas de reenvios?,não possuo,pontualmente após insucesso,proativo,
Delivery,Existe um time de back office de transportes para gestão e tratativa de rotas e parceiros logísticos?,não possuo,"possuo time enxuto apenas uma pessoa para lidar com as ocorrências críticas, ou de forma passiva.",possuo time de back office especializado que trata a gestão de toda a torre de controle de entregas e atua proativamente a cada pedido quando necessário.,
Delivery,Possui auditoria de fretes?,não possuo,Pontual apenas para discrepância altas,"Sistemática, analise minuciosa com disputa em todos os casos passíveis",
Delivery,Atualmenete possui gestão da performance dos transportadores?,não possuo,pontualmente quando tenho problemas recorrentes,"gestão total de transportadores, por rota ativa e cumprimento de SLAs, com agilidade na substituição ou mesmo desligamentos quando necessário.",
CX,Quais canais de SAC estão disponíveis?,Apenas telefone/e-mail,"Omnichannel (chat, email, telefone, whatsapp), mas em silos","Omnichannel (chat, email, telefone, whatsapp)totalmente integrado, com histórico de atendimentos ",
CX,Qual o tempo médio de primeira resposta?,maior que 24 horas,entre 24 horas e 2 horas,"menos que 2 horas, ou suporte em tempo real",
CX,Os atendentes têm autonomia para resolver problemas?,Escalam tudo,Alguma autonomia dentro de limites,Ampla autonomia com SLAs claros e poder de resolução padronizado,
CX,Qual o percentual de chamados resolvidos no primeiro contato?,menos que 50% dos chamados,entre 50% e 80% dos chamados,mais que 80% dos chamados,
CX,Existe comunicação proativa com o cliente?,Apenas reativa,Ocasionalmente proativa,"Totalmente proativa, com alertas e atualizações automatizadas",
CX,A qualidade do serviço é medida?,Sem métricas,Pesquisa CSAT ou NPS,CSAT e NPS com plano de melhorias recorrente,
CX,Qual o CSAT médio dos ultimos 3 meses?,menor que 3.5 ,entre 3.5 e 4.1,maior que 4.1,
CX,Qual NPS médio dos ultimos 3 meses?,menor que 50,entre 50 e 75,maior que 75,
Analytics,Possui algum método de reposição inteligente de estoque?,"não, faço reposições conforme há disponibilidade","sim, faço análises de curvas de vendas e pedidos de reposição manuais","sim, tenho uma analise de cruva de estoque, e sistema de reposição automática.",
Analytics,Quais métricas operacionais são acompanhadas?,KPIs e SLAs Básicos ,"KPIs e SLAs amplos, apenas gerenciais com baixos poucos insights para melhorias, e tomadas de decisão","KPIs e SLAs amplos com insights automátizados, que auxiliam e direcionam tomadas de decisão",
Analytics,Com que frequência os KPIs são reportados?,Mensal,Diário,Dashboards em tempo real,
Analytics,Há análise de causa raiz de problemas operacionais?,Nenhuma,Pontual em casos de urgência ou discrepâncias sigfinicativas,"Sistemática, com alertas ativos e melhoria contínua",
Analytics,Dados são usados para otimizar logística e SAC?,Não,"Insights básicos, pouca ação","Sistemática, com AI embarcada para insights e sugestão de melhorias em todo o processo de pós-vendas",
Analytics,Os dados são compartilhados entre equipes comercial e operação?,"Não, trabalham em silos",Alguns dashboards compartilhados,"Camada de dados comum e totalmente compartilhadas, proporcionando que as áreas trabalhem em conjunto com uso das informações operacionais auxiliando as decisões de negócio.",
Organização,Como são estruturadas operações B2B e B2C?,Totalmente separadas,Alguns processos compartilhados,"Integradas, com otmização de produção, gestão de estoque, e amplificação de oferta/sortimento em diferentes canais.",
Organização,Há práticas de melhoria contínua?,"Operação estável, sem evoluções sigfinificativas contínuas",Algumas iniciativas pontuais,"Programa estruturado de melhorias contínuas, com impacto mensurável",
Organização,"Existe stack tecnológico dedicado (WMS, TMS, OMS, Integradores multicanais)",Nenhum,Parcial/fragmentado,"Stack completa de operações, totalmente integrado com APIs",
Organização,"Todos os processos para atender o pedido do consumidor, estão automazidos e monitorados?",Tenho pouca ou nenhuma automação de minha operação,"Tenho alguns processos automatizados, mas dependendo de planilhas e check-list manuais para alguns afazeres ","Todos os processos estão automatizados, e monitorados por uma camada de tecnologia unificada, que me possibilita analisar qualquer etapa e processo do pedido do meu consumidor de forma simples e ágil.",
Organização,Como é a colaboração entre áreas de pós-venda?,Muito em silos,Algum alinhamento,"Forte colaboração entre gestão de pagamentos/finanças, logísticas, transportes, e sac/atendimento",
Organização,Há treinamentos constantes para reciclagem da equipe de operações?,Nenhum,Ocasional/anual,"Treinamento estruturado, contínuo, com plano e acompanhamento de desenvolvimento",
Organização,Desempenho das operações pós-compra está atrelado a incentivos?,Não,Alguma ligação indireta,KPIs claros atrelados a incentivos de performance,